category,itemId,parentCategory,title,imageUrl,itemHashint64,upc,modifiedDate,createdDate,department,popularityIndex,brand,isActive
TOOLS - CEMENT & MASONRY DRILLING B,144487,POWER TOOLS ACCESSORIES,1/4-in x 6-in Round Hammer Drill Bit,http://images.example.com/product/converted/000346/000346450422.jpg,144637625499330,000346450422,2013-02-08 10:09:42,2013-01-23 02:00:41,TOOLS,NULL,Bosch,0
REINFORCING BARS,4612,MASONRY METALS,REBAR 3/8X3&#39;,http://images.example.com/product/converted/073291/073291053857.jpg,148554861979376,073291053857,2013-02-08 10:11:45,2013-01-23 01:50:53,BUILDING MATERIALS,NULL,Unbranded,0
LINEAR TRACK,233049,TRACK LIGHTING,3-Light White Casual Track Lighting,http://images.example.com/product/converted/022011/022011779454.jpg,151418159841208,022011779454,2013-02-08 10:10:16,2013-01-23 02:05:32,LIGHTING,NULL,Portfolio,0
NAPA CABINETRY,275032,IN-STOCK KITCHEN CABINETS,D  KC 9X30 WALL CAB NAPA CODE R,http://images.example.com/product/converted/772515/772515085567.jpg,166441449165928,772515085567,2013-02-08 10:10:33,2013-01-23 02:07:39,KITCHEN CABINETS AND COUNTERTOPS,NULL,Kitchen Classics,0
HARDWARE - DOOR (LOCKS TAYMOR),262970,LOCKSETS,JH PB BED/BATH KNOB VILLA,http://images.example.com/product/converted/000000/000000000000.jpg,173222874684378,063013637533,2013-02-08 10:10:28,2013-01-23 02:07:11,HARDWARE,NULL,Taymor,0
LIVE NURSERY-SHD & FLR. CONT. TREES,110698,SHRUBS/TREES,10.25-Gallon Norway Maple (L1078),http://images.example.com/product/converted/000000/000000000000.jpg,180283257294124,766247244422,2013-02-08 10:09:28,2013-01-23 01:58:50,NURSERY & GARDENING,NULL,Unbranded,0
LIVE NURSERY-ANNUALS,466902,"ANNUALS, PERENNIALS & VEGETABLES",W/HDL 6 PACK GCS WARM 7X10 DISPLA,http://images.example.com/product/converted/000000/000000000000.jpg,183748725271707,024719006009,2013-02-08 10:11:46,2013-01-23 02:17:23,NURSERY & GARDENING,NULL,Unbranded,0
CEMENT/MASONRY - PORTLAND & MORTAR,268543,CEMENT & MASONRY,30KG MASONRY CEMENT TYPE S,http://images.example.com/product/converted/000000/000000000000.jpg,184961020197645,039645112786,2013-02-08 10:10:30,2013-01-23 02:07:21,BUILDING MATERIALS,NULL,QUIKRETE,0
PLUMBING-P/F - COPPER FTGS.,140788,FITTINGS,2-in x 1-1/2-in x 2-in Copper Slip Tee Fitting,http://images.example.com/product/converted/039923/039923465764.jpg,185715644249685,039923465764,2013-02-08 10:09:40,2013-01-23 02:00:27,ROUGH PLUMBING,NULL,Unbranded,0
DANCO FAUCET REPAIR,30390,FAUCET/TOILET/SINK/MISC REPAIR,"55/64"" Female Standard Aerator",http://images.example.com/product/converted/037155/037155360949.jpg,185951652892257,037155360949,2013-02-08 10:10:43,2013-01-23 01:53:02,ROUGH PLUMBING,NULL,Danco,0
