category,itemId,parentCategory,title,imageUrl,itemHashint64,upc,modifiedDate,createdDate,department,popularityIndex,brand,isActive
DUSK-TO-DAWN,156847,SECURITY LIGHTING & WORK LIGHTS,Utilitech Dusk to Dawn Light Security Motion Detector,http://images.example.com/product/converted/805673/805673011359.jpg,14848335231952949,805673011359,2013-02-08 10:09:47,2013-01-23 02:01:28,LIGHTING,NULL,Utilitech,0
WIRE WHEELS & BUFFING,35264,ROTARY TOOLS & ACCESSORIES,COMPUND 2 CLEANING HVY MTAL,http://images.example.com/product/converted/000000/000000000000.jpg,14848950463961910,066366668698,2013-02-08 10:11:07,2013-01-23 01:53:29,TOOLS,NULL,MIBRO,0
SPORTS KEYS & ACCESSORIES,70936,LOCKSETS,#68 MLB Pittsburgh Pirates Key Blank,http://images.example.com/product/converted/736511/736511414400.jpg,14873700070248811,736511414400,2013-02-08 10:12:00,2013-01-23 01:56:00,HARDWARE,NULL,Fanatix,0
GP ACCESSORIES,6550,VINYL SIDING,5/8-in x 12-ft 6-in White Vinyl Siding J Channel,http://images.example.com/product/converted/085622/085622001420.jpg,14886130916478585,085622001420,2013-02-08 10:11:56,2013-01-23 01:51:01,BUILDING MATERIALS,NULL,Unbranded,0
FELT & BUMPERS,257952,GENERAL HARDWARE,6-Pack Brown Round Felt Pads,http://images.example.com/product/converted/074523/074523072325.jpg,14897481449042386,074523072325,2013-02-08 10:10:26,2013-01-23 02:07:01,HARDWARE,NULL,Waxman,0
LIVE NURSERY-LANDSCAPE TROPICALS,305422,SHRUBS/TREES,1.25-Gallon Sun Parasol Crimson Mandevilla (LW00969),http://images.example.com/product/converted/022532/022532202844.jpg,14899526298975147,022532202844,2013-02-08 10:10:44,2013-01-23 02:09:01,NURSERY & GARDENING,NULL,Unbranded,0
DECORATIVE LIGHTING INT PARTS,338758,CEILING FAN ACCESSORIES & LAMP PART,Aged Bronze Finial,http://images.example.com/product/converted/080629/080629478022.jpg,14905396198439365,080629478022,2013-02-08 10:11:01,2013-01-23 02:11:32,LIGHTING,NULL,Portfolio,0
LIVE NURSERY-ANNUALS,361404,"ANNUALS, PERENNIALS & VEGETABLES",1 QUART GARDEN TREASURES KALE,http://images.example.com/product/converted/000000/000000000000.jpg,14911823553498370,723709851529,2013-02-08 10:11:12,2013-01-23 02:13:13,NURSERY & GARDENING,NULL,Unbranded,0
TOOLS - CORDLESS DRILLS,254285,HAND HELD POWER TOOLS,20-Volt 1/4-in Drive Cordless Impact Driver,http://images.example.com/product/converted/885911/885911226714.jpg,14928461997486903,885911226714,2013-02-08 10:10:26,2013-01-23 02:06:54,TOOLS,NULL,DEWALT,0
JUVENILE BOOKS,366742,BOOKS & MAGAZINES,SPONGEBOB MIX & MATCH,http://images.example.com/product/converted/000000/000000000000.jpg,14932292229213835,076714423053,2013-02-08 10:11:14,2013-01-23 02:13:33,WIND/WALLS,NULL,Unbranded,0
FRAMING HARDWARE,155993,FASTENERS,4 x 4 Composite Standoff Base,http://images.example.com/product/converted/707392/707392466604.jpg,14939034136425477,707392466604,2013-02-08 10:09:46,2013-01-23 02:01:24,HARDWARE,NULL,Simpson Strong-Tie,0
PLUMBING-P/F-ABS DWV FITTINGS,276038,FITTINGS,1-1/4S CAP,http://images.example.com/product/converted/000000/000000000000.jpg,14945691274197097,662671105035,2013-02-08 10:10:33,2013-01-23 02:07:41,ROUGH PLUMBING,NULL,Canplas,0
ALL PURPOSE,281374,CLEANERS,32-oz Lemon Liquid Spray,http://images.example.com/product/converted/037000/037000461609.jpg,14945855718867743,037000461609,2013-02-08 10:10:35,2013-01-23 02:07:52,SHELVING & HOUSEWARES,NULL,Mr Clean,0
BENNETT ROLLERS,262390,APPLICATORS,2L METAL TRAY LINER BEN,http://images.example.com/product/converted/000000/000000000000.jpg,14949715833853978,772783106209,2013-02-08 10:10:28,2013-01-23 02:07:10,PAINT,NULL,Bennett,0
MINWAX ACCESSORIES,320589,INTERIOR STAINS,3.75 Oz. Wood Putty Patching Compound,http://images.example.com/product/converted/027426/027426136182.jpg,14961649785767913,027426136182,2013-02-08 10:10:50,2013-01-23 02:10:05,PAINT,NULL,Minwax,0
PLUMBING-P/F - PVC PRES. PIPE,132886,PIPE,2-in x 10-ft 200 PSI SDR 21 PVC Pressure Pipe,http://images.example.com/product/converted/611942/611942128587.jpg,14973848127858363,611942128587,2013-02-08 10:09:36,2013-01-23 01:59:57,ROUGH PLUMBING,NULL,Charlotte Pipe,0
JUVENILE BOOKS,366716,BOOKS & MAGAZINES,THANK YOU GOD FOR DADDY,http://images.example.com/product/converted/000000/000000000000.jpg,14992974354210231,9781400317080,2013-02-08 10:11:14,2013-01-23 02:13:33,WIND/WALLS,NULL,Unbranded,0
MINWAX FORMBY'S,40874,INTERIOR STAINS,16 fl oz Tung Oil,http://images.example.com/product/converted/032053/032053300646.jpg,14996253415122249,032053300646,2013-02-08 10:11:33,2013-01-23 01:53:47,PAINT,NULL,Formby's,0
PLUMBING-TUBULAR DRAINAGE,24637,PLUMBING REPAIR SUPPLIES,"1-1/2"" x 1-1/2""Washing Machine Trap",http://images.example.com/product/converted/046224/046224004981.jpg,15027249297604194,046224004981,2013-02-08 10:10:22,2013-01-23 01:52:33,ROUGH PLUMBING,NULL,Keeney Mfg. Co.,0
STEPSTOOLS,423788,LADDERS,3-Step Steel Step Stool,http://images.example.com/product/converted/044681/044681119163.jpg,15033042673548324,044681119163,2013-02-08 10:11:38,2013-01-23 02:16:32,BUILDING MATERIALS,NULL,Cosco,0
CEMENT/MASONRY - BRICK/BLOCK,149088,BRICK & BLOCK,8-in x 8-in x 8-in Gray Block,http://images.example.com/product/converted/820779/820779080108.jpg,15064839767218803,820779080108,2013-02-08 10:09:44,2013-01-23 02:01:03,NURSERY & GARDENING,NULL,Headwaters Construction Materials,0
LIVE NURSERY-FLWRG. & DECID. SHRUBS,375981,SHRUBS/TREES,2.84 QT CAMELLIA JAPONICA,http://images.example.com/product/converted/000000/000000000000.jpg,15066701371949099,758333611799,2013-02-08 10:11:19,2013-01-23 02:14:04,NURSERY & GARDENING,NULL,Unbranded,0
DISCONTINUED SOFT WINDOW,190633,SOFT WINDOW,"DRP 84"" CHLOE WHITE TAB PANEL",http://images.example.com/product/converted/047724/047724174051.jpg,15074863770705280,047724174051,2013-02-08 10:10:00,2013-01-23 02:03:22,WIND/WALLS,NULL,Designables,0
MOULDING - PRECUT LENGTHS,4393,MOULDINGS,7/16-in x 3-in x 12-ft Primed Radiata Pine Base Moulding (Pattern 634),http://images.example.com/product/converted/096223/096223038807.jpg,15080688105548485,049437249170,2013-02-08 10:11:42,2013-01-23 01:50:52,MILLWORK,NULL,EverTrue,0
HOLIDAY - ORNAMENTS,140008,TRIM-A-TREE,Multi Plastic Ornament,http://images.example.com/product/converted/000000/000000000000.jpg,15089823516715008,708016291602,2013-02-08 10:09:40,2013-01-23 02:00:24,OUTDOOR FASHIONS,NULL,Holiday Living,0
LIVE NURSERY-SHD & FLR. CONT. TREES,164393,SHRUBS/TREES,3.25 GAL MAGNOLIA SOULANGEANA,http://images.example.com/product/converted/000000/000000000000.jpg,15099622698924802,015415806451,2013-02-08 10:09:50,2013-01-23 02:02:00,NURSERY & GARDENING,NULL,Unbranded,0
SIEMENS PANEL BOXES,199390,SWITCH GEAR & ACCESSORIES,40-Circuit 30-Space 200-Amp Main Lug Load Center,http://images.example.com/product/converted/783643/783643372603.jpg,15105554171390320,783643372603,2013-02-08 10:10:03,2013-01-23 02:03:47,ROUGH ELECTRICAL,NULL,Siemens,0
WINDOWS-VINYL-THERMASTAR 10 SERIES,397827,WINDOWS,32-in x 38-in 10 Series Double Pane Single Hung Window,http://images.example.com/product/converted/748171/748171618135.jpg,15108888608374417,748171618135,2013-02-08 10:11:30,2013-01-23 02:15:22,MILLWORK,NULL,ThermaStar by Pella,0
STYLE SELECTIONS - SHEERS,222704,SOFT WINDOW,"216""L Taupe High Twist Voile Scarf Valance",http://images.example.com/product/converted/029927/029927252170.jpg,15112462485991324,029927252170,2013-02-08 10:10:11,2013-01-23 02:05:03,WIND/WALLS,NULL,Style Selections,0
SPECIALTY HARD-TO-FIND,214116,FASTENERS,Hex Tap Bolts 1/4-20 x 4 In.,http://images.example.com/product/converted/008236/008236797657.jpg,15120315306111958,008236797657,2013-02-08 10:10:08,2013-01-23 02:04:31,HARDWARE,NULL,The Hillman Group,0
TERMINALS,35509,ELECTRICAL ACCESSORIES,BUTT SLICE 16-14 100PK ID,http://images.example.com/product/converted/000000/000000000000.jpg,15121357149974823,783250569946,2013-02-08 10:11:09,2013-01-23 01:53:30,ROUGH ELECTRICAL,NULL,IDEAL,0
CUTDOWN WOVEN WOODS - LEVOLOR,16078,WINDOW TREATMENTS - BLINDS & SHADES,60-in W x 60-in L Fruitwood Room Darkening Natural Roman Shade,http://images.example.com/product/converted/027088/027088814237.jpg,15152298605663526,027088814237,2013-02-08 10:09:48,2013-01-23 01:51:49,WIND/WALLS,NULL,Levolor,0
AUTOMOTIVE CONSUMABLES,153733,"TRUCK, TRAILERS & ACCESSORIES",FRAM CA6626 AIR FILTER,http://images.example.com/product/converted/000000/000000000000.jpg,15152628038787284,009100503442,2013-02-08 10:09:45,2013-01-23 02:01:17,HARDWARE,NULL,FRAM,0
DECORATIVE WALLPLATES,223147,WALL PLATES & DIMMERS,SGL SWT-DUPLX/PLT BRAS ARCH 64222,http://images.example.com/product/converted/022788/022788642227.jpg,15157838732112811,022788642227,2013-02-08 10:10:12,2013-01-23 02:05:04,ROUGH ELECTRICAL,NULL,Brainerd,0
NUMBERS AND LETTERS,368070,GENERAL HARDWARE,"11"" x 17"" Michigan Sign",http://images.example.com/product/converted/000000/000000000000.jpg,15176271339670726,032085315694,2013-02-08 10:11:15,2013-01-23 02:13:36,HARDWARE,NULL,WinCraft Sports,0
NCF-FIBERGLASS PLANTERS,13744,OUTDOOR/INDOOR PLANTERS,"14"" TALL GREEN MARLEE PLANTER",http://images.example.com/product/converted/087404/087404481390.jpg,15177069711399320,087404435140,2013-02-08 10:09:38,2013-01-23 01:51:39,OUTDOOR FASHIONS,NULL,Fiskars,0
PREMIUM PATIO STONES,291188,PATIO HARDSCAPE,"16"" RED/CHARCOAL SLATE",http://images.example.com/product/converted/883642/883642093919.jpg,15183242645137076,883642093919,2013-02-08 10:10:38,2013-01-23 02:08:13,NURSERY & GARDENING,NULL,Anchor Block,0
WIREMOLD/CORDMATE,109209,CORD MANAGEMENT,Metal White Flat Elbow,http://images.example.com/product/converted/086698/086698568763.jpg,15183338742170541,086698568763,2013-02-08 10:09:28,2013-01-23 01:58:44,ROUGH ELECTRICAL,NULL,Wiremold,0
RECESSED KITS,79875,RECESSED LIGHTING,White 6-in New Construction Recessed Lighting Kit,http://images.example.com/product/converted/080083/080083622597.jpg,15190729438682709,080083622597,2013-02-08 10:12:04,2013-01-23 01:56:43,LIGHTING,NULL,Halo,0
BOXED PENDANTS,270607,MINI-PENDANT LTG & REPL GLASS,6-1/4-in W Bronze Pendant Light with Frosted Shade,http://images.example.com/product/converted/092903/092903248467.jpg,15193915001693101,092903248467,2013-02-08 10:10:31,2013-01-23 02:07:26,LIGHTING,NULL,Checkolite International,0
DRYWALL SCREWS & NAILS,21147,NAILS & SCREWS,"1 Lbs. #8 x 1-1/2"" Black Phosphate Phillips-Drive Drywall Screw",http://images.example.com/product/converted/000000/000000000000.jpg,15198986556091200,008236546668,2013-02-08 10:10:07,2013-01-23 01:52:10,HARDWARE,NULL,The Hillman Group,0
PLUMBING-P/F - PEX COMPRESSION FTGS,230947,FITTINGS,"3/8""PUSH TEE                L-440",http://images.example.com/product/converted/000000/000000000000.jpg,15208790500486566,098268327083,2013-02-08 10:10:15,2013-01-23 02:05:25,ROUGH PLUMBING,NULL,Watts,0
ELECTROSTATIC PLEATED AIR FILTERS,397763,AIR FILTERS,20-in x 20-in x 1-in Pleated Air Filter,http://images.example.com/product/converted/078757/078757011280.jpg,15222010874571865,078757011280,2013-02-08 10:11:30,2013-01-23 02:15:22,ROUGH PLUMBING,NULL,BestAir,0
SPECIALTY FABRIC ROMAN SHADES,167491,WINDOW TREATMENTS - BLINDS & SHADES,MC (338312) SMOKE THERM ROM SHADE,http://images.example.com/product/converted/000000/000000000000.jpg,15225884071807690,054708593579,2013-02-08 10:09:52,2013-01-23 02:02:09,WIND/WALLS,NULL,allen + roth,0
NUMBERS AND LETTERS,268932,GENERAL HARDWARE,"5""RIBBON ELEVATED MOUNT SN#8",http://images.example.com/product/converted/000000/000000000000.jpg,15229069504837438,045899400081,2013-02-08 10:10:31,2013-01-23 02:07:23,HARDWARE,NULL,The Hillman Group,0
FLOWER BULBS - SPRING VINES,231575,FLOWER BULBS,CLEMATIS ASAO 1CT,http://images.example.com/product/converted/000000/000000000000.jpg,15235801574069924,029399834317,2013-02-08 10:10:16,2013-01-23 02:05:27,NURSERY & GARDENING,NULL,Unbranded,0
PONDS & ACCESSORIES,81665,PONDS/WATER GARDENING,Floating Fountain with UV Filter and LED Lights,http://images.example.com/product/converted/871980/871980410017.jpg,15239505189740858,871980410017,2013-02-08 10:12:05,2013-01-23 01:56:47,OUTDOOR FASHIONS,NULL,smartpond,0
WINTER GLOVES,142240,GLOVES & APPAREL,D  SPLIT COWHIDE LEATHER GLOVE,http://images.example.com/product/converted/662909/662909910066.jpg,15290200038468703,662909910059,2013-02-08 10:09:41,2013-01-23 02:00:33,NURSERY & GARDENING,NULL,West Chester,0
DYNAMIC PAINT TOOLS,54646,APPLICATORS,ENVIRO CAULKING TOOL TWIN PACK,http://images.example.com/product/converted/000000/000000000000.jpg,15298997421893740,064784900260,2013-02-08 10:11:50,2013-01-23 01:54:49,PAINT,NULL,Dynamic,0
POOL CHEMICALS,200297,POOL PRODUCTS,AquaChem 37.5lb 3 Inch Chlorinating Tab,http://images.example.com/product/converted/014746/014746632395.jpg,15304882076099692,014746632395,2013-02-08 10:10:03,2013-01-23 02:03:48,OUTDOOR FASHIONS,NULL,Aqua Chem,0
PACKAGED FASTENERS,57687,FASTENERS,7-Count #10 x 3/4-in Zinc Plated Socket Hex-Drive Sheet Metal Screws,http://images.example.com/product/converted/008236/008236587609.jpg,15308385794501408,008236587609,2013-02-08 10:11:52,2013-01-23 01:55:00,HARDWARE,NULL,The Hillman Group,0
SHUTTERS - BOARD & BATTEN,320591,SHUTTERS,14-3/4X39 BLK RAISED PANEL SHUTTR,http://images.example.com/product/converted/000000/000000000000.jpg,15310491775908482,040865018611,2013-02-08 10:10:50,2013-01-23 02:10:05,MILLWORK,NULL,Severe Weather,0
BRASSCRAFT FAUCET REPAIR,273257,FAUCET/TOILET/SINK/MISC REPAIR,OEM MOEN SNGL HDL ASS'Y 14927,http://images.example.com/product/converted/000000/000000000000.jpg,15324700937555017,773491038837,2013-02-08 10:10:32,2013-01-23 02:07:34,ROUGH PLUMBING,NULL,BrassCraft,0
TERMINALS,133025,ELECTRICAL ACCESSORIES,18-Pack Weatherproof Spade Terminal,http://images.example.com/product/converted/783250/783250683307.jpg,15329512367021447,783250683307,2013-02-08 10:09:36,2013-01-23 01:59:57,ROUGH ELECTRICAL,NULL,IDEAL,0
PAINT TOOLS,131817,APPLICATORS,DRP SMALL SNAP OFF KNIFE - OLFA,http://images.example.com/product/converted/091511/091511607017.jpg,15334857788865933,091511607017,2013-02-08 10:09:36,2013-01-23 01:59:54,PAINT,NULL,OLFA,0
REPLACEMENT WINDOW HARDWARE,174267,DOOR & WINDOW HARDWARE,"2-Pack 7/8"" Concave Pocket Door Roller Assemblies",http://images.example.com/product/converted/091198/091198020178.jpg,15345518710017503,091198020178,2013-02-08 10:09:54,2013-01-23 02:02:31,HARDWARE,NULL,Barton Kramer,0
BRASSCRAFT FAUCET REPAIR,273419,FAUCET/TOILET/SINK/MISC REPAIR,OEM WALTEC DIVERTER 76341,http://images.example.com/product/converted/000000/000000000000.jpg,15356017986622852,773491040366,2013-02-08 10:10:32,2013-01-23 02:07:34,ROUGH PLUMBING,NULL,BrassCraft,0
MONROVIA - SHRUBS,430093,SHRUBS/TREES,3.60 GAL FEELIN BLU DEOD CED,http://images.example.com/product/converted/000000/000000000000.jpg,15362388640146178,014949003596,2013-02-08 10:11:39,2013-01-23 02:16:42,NURSERY & GARDENING,NULL,Monrovia,0
SOS FAUCETS,207854,SOS FAUCETS,SE REVIVAL BAR SINK FAUCET/LEVE,http://images.example.com/product/converted/040688/040688427041.jpg,15362549266665148,040688427041,2013-02-08 10:10:06,2013-01-23 02:04:10,FASHION PLUMBING,NULL,KOHLER,0
PLYWOOD PROJECT PANELS & ROUNDS,284028,PROJECT PANELS,"11MM (7/16"")X4'X4' DFP G1S (BC)",http://images.example.com/product/converted/000000/000000000000.jpg,15363031177466788,875532009520,2013-02-08 10:10:36,2013-01-23 02:07:57,LUMBER,NULL,Unbranded,0
SQUARE D QO CIRCUIT BREAKERS,265878,SWITCH GEAR & ACCESSORIES,NC 2 POLE 50 AMP CIR BRK,http://images.example.com/product/converted/000000/000000000000.jpg,15364837364209092,047569401671,2013-02-08 10:10:29,2013-01-23 02:07:16,ROUGH ELECTRICAL,NULL,Federal Pioneer,0
CLOSET LAMINATE-SUITE SYMPHONY,295641,CLOSET SYSTEMS,(DRPU) CHERY BRNZ FNSH BRACKET,http://images.example.com/product/converted/089066/089066089334.jpg,15372428562222826,089066089334,2013-02-08 10:10:40,2013-01-23 02:08:27,SHELVING & HOUSEWARES,NULL,ClosetMaid,0
NCF-REPLACEMENT CUSHIONS,173983,PATIO FURNITURE,"45""L x 24""W Terilynn Texture Seafoam",http://images.example.com/product/converted/034648/034648161168.jpg,15375436081040038,034648161168,2013-02-08 10:09:54,2013-01-23 02:02:30,OUTDOOR FASHIONS,NULL,Arden Outdoor,0
ARMSTRONG LAMINATE,63592,STOCK LAMINATE,5-in W x 47-5/8-in L Cottage Cherry Laminate Flooring,http://images.example.com/product/converted/042369/042369712811.jpg,15377379669227185,042369712811,2013-02-08 10:11:55,2013-01-23 01:55:26,FLOORING,NULL,Armstrong,0
MINWAX CLEARS,273849,INTERIOR STAINS,Oil-Modified Gloss Polyurethane,http://images.example.com/product/converted/027426/027426630154.jpg,15378825606774750,027426630154,2013-02-08 10:10:33,2013-01-23 02:07:36,PAINT,NULL,Minwax,0
ACCESSORY COMBO SETS,189944,POWER TOOLS ACCESSORIES,25PC DRILL AND DRIVE SET,http://images.example.com/product/converted/754005/754005281215.jpg,15389542992303930,754005281215,2013-02-08 10:10:00,2013-01-23 02:03:20,TOOLS,NULL,Hitachi,0
PRIME-LINE,14421,DOOR & WINDOW HARDWARE,Bifold Closet Door Hardware Kit,http://images.example.com/product/converted/049793/049793066725.jpg,15390131908008947,049793066725,2013-02-08 10:09:42,2013-01-23 01:51:41,HARDWARE,NULL,Prime-Line,0
CUTDOWN FAUX WOOD BLINDS - LEVOLOR,425404,WINDOW TREATMENTS - BLINDS & SHADES,23-in W x 64-in L White Faux Wood 2-in Slat Room Darkening Plantation Blind,http://images.example.com/product/converted/000000/000000000000.jpg,15394754512731298,027088817337,2013-02-08 10:11:38,2013-01-23 02:16:36,WIND/WALLS,NULL,Custom Size Now by Levolor,0
KRYLON SPRAY PAINT,402659,SPRAYS & ENAMELS,3 Oz. White Flat Spray Paint,http://images.example.com/product/converted/724504/724504000556.jpg,15398323989377641,724504000556,2013-02-08 10:11:31,2013-01-23 02:15:35,PAINT,NULL,Krylon,0
SANDPAPER,195382,ROTARY TOOLS & ACCESSORIES,2-Pack 80-Grit 3-in W x 18-in L Sanding Belts Sandpaper,http://images.example.com/product/converted/082354/082354031619.jpg,15411947868876804,082354031619,2013-02-08 10:10:01,2013-01-23 02:03:34,TOOLS,NULL,Gator,0
WINDOWS-ALUM-BETTERBILT,59295,WINDOWS,36-in x 36-in 875 Series Left-Operable Aluminum Double Pane Sliding Window,http://images.example.com/product/converted/028288/028288053297.jpg,15415236951117909,028288053297,2013-02-08 10:11:53,2013-01-23 01:55:08,MILLWORK,NULL,BetterBilt,0
AUTOMOTIVE CONSUMABLES,362377,"TRUCK, TRAILERS & ACCESSORIES",LARGE SPONGE,http://images.example.com/product/converted/000000/000000000000.jpg,15423280589220988,056986651590,2013-02-08 10:11:12,2013-01-23 02:13:18,HARDWARE,NULL,Superex,0
5X8 RUGS,271048,RUGS,5-ft 3-in x 7-ft 6-in Toast Camden Area Rug,http://images.example.com/product/converted/027794/027794199093.jpg,15426857470814929,027794199093,2013-02-08 10:10:31,2013-01-23 02:07:28,WIND/WALLS,NULL,Orian Rugs,0
DREMEL,65636,ROTARY TOOLS & ACCESSORIES,DREMEL 7.2V MULTI PRO BATTERY PAC,http://images.example.com/product/converted/080596/080596022433.jpg,15431467751142882,080596022433,2013-02-08 10:11:56,2013-01-23 01:55:35,TOOLS,NULL,Dremel,0
HARDWARE - PADLOCKS,310436,INTERIOR SECURITY,"Magnum 2"" Reset Combo, 1-1/2"" Shackle",http://images.example.com/product/converted/071649/071649236167.jpg,15453303590934977,071649236167,2013-02-08 10:10:45,2013-01-23 02:09:13,HARDWARE,NULL,Master Lock,0
RB 9 LITE STEEL ENTRY DOOR UNITS,339468,ENTRY DOOR,30-in x 80-in Outswing Steel Door,http://images.example.com/product/converted/030151/030151123723.jpg,15455287592247658,030151123723,2013-02-08 10:11:01,2013-01-23 02:11:35,MILLWORK,NULL,ReliaBilt,0
LIVE NURSERY - VINES,134851,SHRUBS/TREES,2.25 GAL JASMINE STAKED ASSORTED,http://images.example.com/product/converted/000000/000000000000.jpg,15456001362515737,053935715334,2013-02-08 10:09:37,2013-01-23 02:00:02,NURSERY & GARDENING,NULL,Unbranded,0
LIVE NURSERY-SHD & FLR. CONT. TREES,170419,SHRUBS/TREES,8.75-Gallon Insignificant Dappled Willow (L20514),http://images.example.com/product/converted/000000/000000000000.jpg,15456397618235604,751636212977,2013-02-08 10:09:53,2013-01-23 02:02:20,NURSERY & GARDENING,NULL,Unbranded,0
LIVE NURSERY-PERENNIALS,443256,"ANNUALS, PERENNIALS & VEGETABLES",1.00 GAL PRUNELLA GCS,http://images.example.com/product/converted/000000/000000000000.jpg,15474172558837151,736019304302,2013-02-08 10:11:43,2013-01-23 02:17:01,NURSERY & GARDENING,NULL,Unbranded,0
LIVE NURSERY-ANNUALS,361389,"ANNUALS, PERENNIALS & VEGETABLES","10"" MUM HANGING BASKET",http://images.example.com/product/converted/000000/000000000000.jpg,15499843989267187,723709851352,2013-02-08 10:11:12,2013-01-23 02:13:13,NURSERY & GARDENING,NULL,Unbranded,0
KRYLON SPRAY PAINT,402867,SPRAYS & ENAMELS,NR KRYLN 15OZ CNTRT PRIMR RUDDY B,http://images.example.com/product/converted/000000/000000000000.jpg,15506895973958182,724504058748,2013-02-08 10:11:31,2013-01-23 02:15:36,PAINT,NULL,Krylon,0
PATIO DOORS-STEEL HINGED-PROBILT,289748,PATIO DOOR,71-1/2-in Dual-Pane 15-Lite Steel French Inswing Patio Door,http://images.example.com/product/converted/807584/807584313386.jpg,15510971754909031,807584313386,2013-02-08 10:10:38,2013-01-23 02:08:08,MILLWORK,NULL,ReliaBilt,0
THREADED ROD & METAL SHAPES,216173,FASTENERS,Non-Plated Steel Weldable Angle,http://images.example.com/product/converted/053538/053538534219.jpg,15528641255118761,053538534219,2013-02-08 10:10:08,2013-01-23 02:04:37,HARDWARE,NULL,Steelworks,0
A+R COACH LIGHTING,27737,OUTDOOR DECORATIVE LIGHTING,Lancetti 10-3/4-in Brushed Nickel Outdoor Wall Light,http://images.example.com/product/converted/737995/737995390501.jpg,15535867126432594,737995390501,2013-02-08 10:10:34,2013-01-23 01:52:51,LIGHTING,NULL,allen + roth,0
MC CABLE,59043,ELECTRICAL CABLE,100' 12/2 Aluminum BX Cable,http://images.example.com/product/converted/032886/032886044304.jpg,15547802689216544,032886044304,2013-02-08 10:11:52,2013-01-23 01:55:06,ROUGH ELECTRICAL,NULL,Southwire,0
LIVE NURSERY-BROADLEAF EVER. SHRUBS,404738,SHRUBS/TREES,1.74 GAL RHODODENDRON,http://images.example.com/product/converted/000000/000000000000.jpg,15557014580218563,768968520779,2013-02-08 10:11:32,2013-01-23 02:15:41,NURSERY & GARDENING,NULL,Unbranded,0
NATURAL STONE,304498,PATIO HARDSCAPE,7-INX7-IN TAN NATURAL SANDSTONE,http://images.example.com/product/converted/000000/000000000000.jpg,15573160405134464,828406002141,2013-02-08 10:10:43,2013-01-23 02:08:58,NURSERY & GARDENING,NULL,Unbranded,0
BAGGED GOODS,234136,CEMENT & MASONRY,80 lbs Gray Mortar Repair Mix,http://images.example.com/product/converted/039645/039645113721.jpg,15578670244253527,039645113721,2013-02-08 10:10:17,2013-01-23 02:05:35,BUILDING MATERIALS,NULL,QUIKRETE,0
PHONE ACCESSORIES,94559,MULTIMEDIA - RE,DRP 6 WRE RND WL JK ALM P60619,http://images.example.com/product/converted/026616/026616026791.jpg,15595769577459959,026616026791,2013-02-08 10:12:12,2013-01-23 01:57:43,ROUGH ELECTRICAL,NULL,Philips,0
SPECIALTY HARD-TO-FIND,138935,FASTENERS,2-Count 6mm-1.0 x 25mm Hex Washer-Head Zinc Plated Hardened Steel Metric Body Bolts,http://images.example.com/product/converted/008236/008236715521.jpg,15597724387150486,008236715521,2013-02-08 10:09:39,2013-01-23 02:00:19,HARDWARE,NULL,The Hillman Group,0
IMPORT SIGNS NUMBERS LETTERS,214367,GENERAL HARDWARE,"5"" SOLID BRASS #0",http://images.example.com/product/converted/000000/000000000000.jpg,15598760647749055,687849008000,2013-02-08 10:10:08,2013-01-23 02:04:32,HARDWARE,NULL,Gatehouse,0
WALL PANELS,112302,INTERIOR WALL PANELS,1/4-in x 4-ft x 8-ft Tan/Eggshell Hardboard Wall Panel,http://images.example.com/product/converted/765096/765096002917.jpg,15624669612081366,765096002917,2013-02-08 10:09:29,2013-01-23 01:58:55,MILLWORK,NULL,DPI,0
GE TL DRYER,334762,LAUNDRY - DRYERS,GE TL GAS DRYER GTDP301GLWS,http://images.example.com/product/converted/000000/000000000000.jpg,15626855189365169,084691227915,2013-02-08 10:10:58,2013-01-23 02:11:06,APPLIANCES,NULL,GE,0
SOS WOOD FENCE,297947,SOS FENCE,NR 94037 COMPOSITE LINEPST 4X4X8,http://images.example.com/product/converted/000000/000000000000.jpg,15642094272944261,,2013-02-08 10:10:41,2013-01-23 02:08:38,LUMBER,NULL,,0
CASPIAN,41622,IN-STOCK KITCHEN CABINETS,24-in x 30-in Caspian White Wall Cabinet,http://images.example.com/product/converted/772515/772515377952.jpg,15643854285458606,772515377952,2013-02-08 10:11:34,2013-01-23 01:53:50,KITCHEN CABINETS AND COUNTERTOPS,NULL,Kitchen Classics,0
SOLID WOOD FLOORING,145262,STOCK WOOD,3-1/4-in W x 48-in L Brazilian Cherry Solid Hardwood Flooring,http://images.example.com/product/converted/042369/042369528511.jpg,15644586118784027,042369528511,2013-02-08 10:09:42,2013-01-23 02:00:50,FLOORING,NULL,Bruce,0
ARCADIA,174433,IN-STOCK KITCHEN CABINETS,Arcadia White Scribe Rail,http://images.example.com/product/converted/772515/772515363153.jpg,15651758618909711,772515363153,2013-02-08 10:09:54,2013-01-23 02:02:32,KITCHEN CABINETS AND COUNTERTOPS,NULL,Kitchen Classics,0
DRYER VENT,56265,YEAR ROUND HEATING,6-in x 8-ft Aluminum Flex Duct,http://images.example.com/product/converted/063467/063467854388.jpg,15652125965825193,063467854388,2013-02-08 10:11:51,2013-01-23 01:54:55,ROUGH PLUMBING,NULL,IMPERIAL,0
